Geo Description,Year,BLL Category,Sex,Case Count,Lead Screening Count,Rate,95% Confidence Interval,State BLL Case Count,State Lead Screening Count,"State Rate per 1,000",Statistical Significance,High-risk,Stability,Average(BLL Case Count),Average(Lead Screening Count),Total(Rate),95 percent Total(Confidence Interval),State Average BLL Cases Count,State Average Screening Count,State Rate,Statistical Significance for Annual Average
Nantucket,2020,Estimated Confirmed  5 g/dL (elevated),Total,NS,217,13.8,NS,1995,149910,13.30798479,NS,NA ,NS      ,NS,217,NS,NS,27930,149910,13.30798479,NS
Norfolk,2020,Estimated Confirmed  5 g/dL (elevated),Female,49,8212,6,4.2 - 7.6,893,73476,12.1536284,Statistically significantly lower,NA ,Stable  ,,,,,,,,
Norfolk,2020,Estimated Confirmed  5 g/dL (elevated),Male,38,8525,4.5,3.0 - 5.8,1102,76434,14.41766753,Statistically significantly lower,NA ,Stable  ,,,,,,,,
Norfolk,2020,Estimated Confirmed  5 g/dL (elevated),Total,87,16737,5.2,4.1 - 6.2,1995,149910,13.30798479,Statistically significantly lower,NA ,Stable  ,87,16737,5.2,4.1 - 6.2,27930,149910,13.30798479,Statistically significantly lower
Plymouth,2020,Estimated Confirmed  5 g/dL (elevated),Female,65,5931,11,8.2 - 13.6,893,73476,12.1536284,Not statistically different,NA ,Stable  ,,,,,,,,
Plymouth,2020,Estimated Confirmed  5 g/dL (elevated),Male,78,6222,12.5,9.7 - 15.3,1102,76434,14.41766753,Not statistically different,NA ,Stable  ,,,,,,,,
Plymouth,2020,Estimated Confirmed  5 g/dL (elevated),Total,143,12153,11.8,9.8 - 13.6,1995,149910,13.30798479,Not statistically different,NA ,Stable  ,143,12153,11.8,9.8 - 13.6,27930,149910,13.30798479,Not statistically different
Suffolk,2020,Estimated Confirmed  5 g/dL (elevated),Female,105,8073,13,10.5 - 15.4,893,73476,12.1536284,Not statistically different,NA ,Stable  ,,,,,,,,
Suffolk,2020,Estimated Confirmed  5 g/dL (elevated),Male,131,8249,15.9,13.1 - 18.6,1102,76434,14.41766753,Not statistically different,NA ,Stable  ,,,,,,,,
Suffolk,2020,Estimated Confirmed  5 g/dL (elevated),Total,236,16322,14.5,12.6 - 16.3,1995,149910,13.30798479,Not statistically different,NA ,Stable  ,236,16322,14.5,12.6 - 16.3,27930,149910,13.30798479,Not statistically different
Worcester,2020,Estimated Confirmed  5 g/dL (elevated),Female,99,8508,11.6,9.3 - 13.9,893,73476,12.1536284,Not statistically different,NA ,Stable  ,,,,,,,,
Worcester,2020,Estimated Confirmed  5 g/dL (elevated),Male,140,9025,15.5,12.9 - 18.0,1102,76434,14.41766753,Not statistically different,NA ,Stable  ,,,,,,,,
Worcester,2020,Estimated Confirmed  5 g/dL (elevated),Total,239,17533,13.6,11.9 - 15.3,1995,149910,13.30798479,Not statistically different,NA ,Stable  ,239,17533,13.6,11.9 - 15.3,27930,149910,13.30798479,Not statistically different
